"loeuf_rank","input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","post_publication_update","match_status","match_method","match_note","gene","ensembl_gene_id","transcript_id","transcript_version","transcript_selection_method","chromosome","start_position","end_position","loeuf","pLI","plof_obs","plof_exp","plof_oe","missense_oe","missense_z","synonymous_oe","highly_lof_constrained","strong_missense_constraint","constraint_signal_pattern","quality_status","quality_flags","low_coverage_flag","poor_mappability_flag","gene_quality_metrics.exome_prop_bp_AN90","gene_quality_metrics.exome_mean_AS_MQ","gene_quality_metrics.exome_prop_segdup","gene_quality_metrics.exome_prop_LCR","gene_flags","constraint_flags"
12,613,"RBBP5",5929,"Q15291","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RBBP5","ENSG00000117222","ENST00000264515","ENST00000264515.11","MANE Select","chr1",205086142,205121978,0.14555,1,5,72.229,0.069225,0.4937,5.5145,0.88126,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
13,615,"TBL1XR1",79718,"Q9BZK7","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TBL1XR1","ENSG00000177565","ENST00000457928","ENST00000457928.7","MANE Select","chr3",177019344,177197482,0.15724,1,5,66.859,0.074784,0.38189,6.5811,1.0195,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.821,0.015564,0,"[]","[]"
14,305,"EP300",2033,"Q09472","Degenerate RING","degenerate RING","Yes","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","EP300","ENSG00000100393","ENST00000263253","ENST00000263253.9","MANE Select","chr22",41092592,41180077,0.15848,1,31,263.99,0.11743,0.90602,2.2146,1.2818,FALSE,FALSE,"missing or flagged constraint","flagged","constraint_flags=[""outlier_syn""]",FALSE,FALSE,1,59.999,0,0,"[]","[""outlier_syn""]"
15,536,"KLHL15",80311,"Q96M94","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL15","ENSG00000174010","ENST00000328046","ENST00000328046.8","MANE Select","chrX",23983720,24027186,0.162,1,1,29.284,0.034149,0.44936,5.1369,1.1489,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
16,284,"UHRF1",29128,"Q96T88","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UHRF1","ENSG00000276043","ENST00000650932","ENST00000650932.1","MANE Select","chr19",4909501,4962154,0.1627,1,9,96.529,0.093237,0.55347,6.4047,0.9683,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.9979,55.986,0.06053,0,"[]","[]"
17,221,"TRIM28",10155,"Q13263","RING, SUMO E3","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM28","ENSG00000130726","ENST00000253024","ENST00000253024.10","MANE Select","chr19",58544064,58550715,0.16524,1,8,87.358,0.091577,0.85527,2.0766,1.3228,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.90299,59.993,0,0,"[]","[]"
18,308,"PIAS1",8554,"O75925","Degenerate RING (SP-RING), SUMO E3","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PIAS1","ENSG00000033800","ENST00000249636","ENST00000249636.11","MANE Select","chr15",68054315,68193847,0.16608,1,6,71.307,0.084144,0.69935,3.6121,1.0347,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.97491,59.998,0,0,"[]","[]"
19,334,"ARIH1",25820,"Q9Y4X5","RING-between-RING, Ubl E3","RBR","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ARIH1","ENSG00000166233","ENST00000379887","ENST00000379887.9","MANE Select","chr15",72474330,72602987,0.1698,1,8,85.007,0.09411,0.43308,6.4792,0.93841,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.94255,59.996,0,0.049671,"[]","[]"
20,71,"MSL2",55167,"Q9HCI7","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MSL2","ENSG00000174579","ENST00000309993","ENST00000309993.3","MANE Select","chr3",136148917,136196335,0.17607,1,2,35.756,0.055934,0.7401,2.9466,1.1576,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
21,396,"FBXO11",80204,"Q86XK2","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO11","ENSG00000138081","ENST00000403359","ENST00000403359.8","MANE Select","chr2",47806920,47906498,0.17674,1,13,116.95,0.11116,0.65871,4.9668,1.2878,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.94139,59.991,0,0.051061,"[]","[]"
22,587,"DCAF1",9730,"Q9Y4B6","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF1","ENSG00000145041","ENST00000684031","ENST00000684031.1","MANE Select","chr3",51397842,51500015,0.18043,1,15,128.01,0.11718,0.59897,6.9464,1.0116,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.81332,59.999,0,0,"[]","[]"
23,669,"UBE2O",63893,"Q9C0C9","Atypical E3 (E2/E3 hybrid)","Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBE2O","ENSG00000175931","ENST00000319380","ENST00000319380.12","MANE Select","chr17",76389456,76453152,0.18359,1,15,125.81,0.11923,0.74264,4.5568,1.0068,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.95485,59.999,0,0,"[]","[]"
24,113,"RLIM",51132,"Q9NVW2","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RLIM","ENSG00000131263","ENST00000332687","ENST00000332687.11","MANE Select","chrX",74582976,74614624,0.18541,1,2,33.955,0.058901,0.59616,3.7724,1.0304,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,57.754,0.86485,0.04594,"[]","[]"
25,661,"TULP4",56995,"Q9NRJ4","CRL5 substrate receptor (BC-box protein with CUL5 box)","CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TULP4","ENSG00000130338","ENST00000367097","ENST00000367097.8","MANE Select","chr6",158312465,158511828,0.18836,1,16,129.02,0.12402,0.89455,2.0408,1.1686,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.99244,59.993,0,0.012746,"[]","[]"
26,599,"DCAF5",8816,"Q96JK2","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF5","ENSG00000139990","ENST00000341516","ENST00000341516.10","MANE Select","chr14",69050881,69153119,0.19471,1,9,80.658,0.11158,0.69835,4.4671,0.93748,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0.002477,"[]","[]"
27,20,"CNOT4",4850,"O95628","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CNOT4","ENSG00000080802","ENST00000541284","ENST00000541284.6","MANE Select","chr7",135361795,135510102,0.19561,1,8,73.794,0.10841,0.63846,4.5829,0.9125,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.97849,59.995,0,0,"[]","[]"
28,167,"RNF220",55182,"Q5VTB9","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF220","ENSG00000187147","ENST00000361799","ENST00000361799.7","MANE Select","chr1",44405255,44651723,0.19589,1,7,67.12,0.10429,0.76319,2.748,0.95354,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
29,231,"TRIM39",56658,"Q9HCM9","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM39","ENSG00000204599","ENST00000396551","ENST00000396551.8","Ensembl canonical","chr6",30326469,30343729,0.19603,1,5,53.628,0.093234,0.4992,5.3226,0.82498,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.997,0,0,"[]","[]"
30,15,"CBLL1",79872,"Q75N03","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBLL1","ENSG00000105879","ENST00000440859","ENST00000440859.8","MANE Select","chr7",107744142,107761667,0.2037,1,4,44.937,0.089013,0.89362,1.1448,1.1624,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
31,100,"RBBP6",5930,"Q7Z6E9","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RBBP6","ENSG00000122257","ENST00000319715","ENST00000319715.10","MANE Select","chr16",24539566,24572863,0.20819,1,25,167.71,0.14907,0.87526,2.4578,1.0723,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.9987,59.999,0,0.031436,"[]","[]"
32,148,"RNF17",56163,"Q9BXT8","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF17","ENSG00000132972","ENST00000255324","ENST00000255324.10","MANE Select","chr13",24764169,24879921,0.20866,1,31,200.51,0.15461,0.85456,2.7074,0.95014,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.99281,59.984,0,0.00020538,"[]","[]"
33,438,"FBXW7",55294,"Q969H0","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXW7","ENSG00000109670","ENST00000281708","ENST00000281708.10","MANE Select","chr4",152320544,152536092,0.21091,1,11,86.328,0.12742,0.5759,5.2652,1.0506,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.997,0,0,"[]","[]"
34,201,"TRAF2",7186,"Q12933","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRAF2","ENSG00000127191","ENST00000247668","ENST00000247668.7","MANE Select","chr9",136886516,136926607,0.21293,1,6,55.617,0.10788,0.81962,2.0127,1.1907,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
35,478,"ZSWIM8",23053,"A7E2V4","CRL2 substrate receptor (BC-CUL2-box), CRL3 substrate receptor","CRL2; CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZSWIM8","ENSG00000214655","ENST00000604729","ENST00000604729.6","MANE Select","chr10",73785606,73801793,0.21433,1,27,173.73,0.15542,0.66987,6.939,0.99579,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
36,667,"TNFAIP3",7128,"P21580","Atypical E3 (A20-type zinc finger)","Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TNFAIP3","ENSG00000118503","ENST00000612899","ENST00000612899.5","MANE Select","chr6",137867259,137883312,0.21694,1,9,72.393,0.12432,0.8177,2.4815,0.90977,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
37,601,"DCAF7",10238,"P61962","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF7","ENSG00000136485","ENST00000614556","ENST00000614556.5","MANE Select","chr17",63550477,63594266,0.22193,1,4,41.244,0.096983,0.29559,6.3245,0.87077,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
38,466,"NRBP1",29959,"Q9UHY1","CRL2 substrate receptor (BC-CUL2-box)","CRL2","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NRBP1","ENSG00000115216","ENST00000379852","ENST00000379852.8","MANE Select","chr2",27428631,27442259,0.22305,1,10,76.045,0.1315,0.53246,5.0682,0.97815,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
39,356,"HERC2",8924,"O95714","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","HERC2","ENSG00000128731","ENST00000261609","ENST00000261609.13","MANE Select","chr15",28111040,28322179,0.22362,1,102,537.72,0.18969,0.68342,10.63,0.90179,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.9318,53.778,0.6013,0,"[]","[]"
40,313,"ZMIZ1",57178,"Q9ULJ6","Degenerate RING (SP-RING), SUMO E3","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZMIZ1","ENSG00000108175","ENST00000334512","ENST00000334512.10","MANE Select","chr10",79068966,79316519,0.22379,1,17,113.94,0.1492,0.71659,4.6465,1.0064,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.99781,59.996,0,0,"[]","[]"
41,311,"PIAS4",51588,"Q8N2W9","Degenerate RING (SP-RING), SUMO E3","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PIAS4","ENSG00000105229","ENST00000262971","ENST00000262971.3","MANE Select","chr19",4007736,4039386,0.22684,1,7,57.961,0.12077,0.77516,2.5543,1.1652,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.98235,59.999,0,0.033987,"[]","[]"
42,670,"BIRC6",57448,"Q9NR09","Atypical E3 (E2/E3 hybrid)","Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BIRC6","ENSG00000115760","ENST00000421745","ENST00000421745.7","MANE Select","chr2",32357023,32618878,0.23032,1,98,503.28,0.19472,0.92318,2.4964,1.0776,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.98696,59.998,0,0.0087846,"[]","[]"
43,474,"ZER1",10444,"Q7Z7L7","CRL2 substrate receptor (BC-CUL2-box)","CRL2","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZER1","ENSG00000160445","ENST00000291900","ENST00000291900.7","MANE Select","chr9",128729786,128771927,0.2312,1,11,78.754,0.13968,0.58983,5.5233,0.98272,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.94343,59.999,0,0,"[]","[]"
44,225,"TRIM33",51592,"Q9UPN9","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM33","ENSG00000197323","ENST00000358465","ENST00000358465.7","MANE Select","chr1",114392790,114511203,0.23174,1,20,125.41,0.15948,0.65182,5.5788,1.0975,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.93523,59.999,0,0,"[]","[]"
45,671,"RANBP2",5903,"P49792","Atypical E3 (interinal repeat region IR1-M-IR2), SUMO E3","Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RANBP2","ENSG00000153201","ENST00000283195","ENST00000283195.11","MANE Select","chr2",108719482,108785809,0.23407,1,57,303.63,0.18773,0.82998,4.4587,0.89663,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.98273,51.699,0.81545,0,"[]","[]"
46,292,"XIAP",331,"P98170","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","XIAP","ENSG00000101966","ENST00000371199","ENST00000371199.8","MANE Select","chrX",123860053,123913972,0.23457,0.99999,3,33.055,0.090758,0.72723,2.2165,0.80791,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.97384,59.177,0.1281,0,"[]","[]"
47,459,"KLHDC3",116138,"Q9BQ90","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHDC3","ENSG00000124702","ENST00000326974","ENST00000326974.9","MANE Select","chr6",43014249,43021294,0.23849,1,5,44.081,0.11343,0.48027,5.0268,0.89967,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
48,442,"KDM2B",84678,"Q8NHM5","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KDM2B","ENSG00000089094","ENST00000377071","ENST00000377071.9","MANE Select","chr12",121429096,121581023,0.24049,1,26,150.01,0.17332,0.69623,5.5223,1.0062,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.99825,59.999,0,0,"[]","[]"
49,187,"RNF8",9025,"O76064","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF8","ENSG00000112130","ENST00000373479","ENST00000373479.9","MANE Select","chr6",37353983,37394734,0.24346,1,8,59.29,0.13493,0.709,2.9699,0.81006,TRUE,FALSE,"pLoF constrained only","pass","none",FALSE,FALSE,0.99313,59.996,0,0,"[]","[]"
50,335,"ARIH2",10425,"O95376","RING-between-RING","RBR","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ARIH2","ENSG00000177479","ENST00000356401","ENST00000356401.9","MANE Select","chr3",48918842,48986382,0.24364,1,12,79.8,0.15038,0.48679,5.4427,1.0471,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.926,0,0,"[]","[]"
51,316,"UBR4",23352,"Q5T4S7","Degenerate RING","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBR4","ENSG00000127481","ENST00000375254","ENST00000375254.8","MANE Select","chr1",19074510,19210266,0.25005,1,124,575.65,0.21541,0.74366,8.7999,0.99245,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,0.99698,59.999,0,0,"[]","[]"
52,328,"UBE4B",10277,"O95155","Degenerate RING (U-box)","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBE4B","ENSG00000130939","ENST00000343090","ENST00000343090.11","MANE Select","chr1",10032958,10181239,0.25139,1,27,148.11,0.18229,0.7038,5.1506,0.96235,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
53,623,"WDTC1",23038,"Q8N5D0","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","WDTC1","ENSG00000142784","ENST00000319394","ENST00000319394.8","MANE Select","chr1",27234632,27308636,0.25573,1,12,76.029,0.15784,0.5623,5.6274,0.9294,TRUE,TRUE,"pLoF and missense constrained","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
