"input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","match_status","gnomad_symbol_matches","match_method","match_note","matched_gnomad_symbol","ensembl_gene_id","transcript_id","duplicated_gene_assignment","quality_status","quality_flags"
13,"CBLB","868","Q13191","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBLB","ENSG00000114423","ENST00000394030",FALSE,"pass","none"
14,"CBLC","23624","Q9ULV8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBLC","ENSG00000142273","ENST00000647358",FALSE,"pass","none"
15,"CBLL1","79872","Q75N03","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBLL1","ENSG00000105879","ENST00000440859",FALSE,"pass","none"
16,"CBLL2","158506","Q8N7E2","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CBLL2","ENSG00000175809","ENST00000323684",FALSE,"flagged","constraint_flags=[""no_exp_lof""]"
17,"CCNB1IP1","57820","Q9NPC3","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CCNB1IP1","ENSG00000100814","ENST00000358932",FALSE,"pass","none"
18,"CGRRF1","10668","Q99675","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CGRRF1","ENSG00000100532","ENST00000216420",FALSE,"pass","none"
19,"CHFR","55743","Q96EP1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CHFR","ENSG00000072609","ENST00000450056",FALSE,"pass","none"
20,"CNOT4","4850","O95628","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CNOT4","ENSG00000080802","ENST00000541284",FALSE,"pass","none"
21,"COP1","64326","Q8NHY2","RING, CRL4 substrate receptor (DDB1-binding protein)","CRL4/DDB1","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","COP1","ENSG00000143207","ENST00000367669",FALSE,"pass","none"
22,"DCST1","149095","Q5T197","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCST1","ENSG00000163357","ENST00000295542",FALSE,"pass","none"
23,"DTX1","1840","Q86Y01","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DTX1","ENSG00000135144","ENST00000548759",FALSE,"pass","none"
24,"DTX2","113878","Q86UW9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DTX2","ENSG00000091073","ENST00000430490",FALSE,"flagged","gene_flags=[""low_exome_mapping_quality""]"
25,"DTX3","196403","Q8N9I9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DTX3","ENSG00000178498","ENST00000337737",FALSE,"pass","none"
26,"DTX3L","151636","Q8TDB6","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DTX3L","ENSG00000163840","ENST00000296161",FALSE,"pass","none"
27,"DTX4","23220","Q9Y2E6","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DTX4","ENSG00000110042","ENST00000227451",FALSE,"pass","none"
28,"DZIP3","9666","Q86Y13","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DZIP3","ENSG00000198919","ENST00000361582",FALSE,"pass","none"
29,"FANCL","55120","Q9NW38","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FANCL","ENSG00000115392","ENST00000233741",FALSE,"pass","none"
30,"G2E3","55632","Q7L622","RING, HECT","HECT","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","G2E3","ENSG00000092140","ENST00000206595",FALSE,"pass","none"
31,"GTF2H2","2966","Q13888","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","GTF2H2","ENSG00000145736","ENST00000274400",FALSE,"flagged","gene_flags=[""low_exome_mapping_quality""]"
32,"HLTF","6596","Q14527","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","HLTF","ENSG00000071794","ENST00000310053",FALSE,"pass","none"
33,"IRF2BP1","26145","Q8IU81","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","IRF2BP1","ENSG00000170604","ENST00000302165",FALSE,"pass","none"
34,"IRF2BP2","359948","Q7Z5L9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","IRF2BP2","ENSG00000168264","ENST00000366609",FALSE,"flagged","constraint_flags=[""outlier_syn""]"
35,"IRF2BPL","64207","Q9H1B7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","IRF2BPL","ENSG00000119669","ENST00000238647",FALSE,"flagged","constraint_flags=[""outlier_syn""]"
36,"LNX1","84708","Q8TBB1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LNX1","ENSG00000072201","ENST00000263925",FALSE,"pass","none"
37,"LNX2","222484","Q8N448","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LNX2","ENSG00000139517","ENST00000316334",FALSE,"pass","none"
38,"LOC122513141","122513141","A0A2R8Y4M4","RING","RING","unmatched",0,"unmatched","No selected Ensembl protein-coding gnomAD v4.1.1 gene matched this E3 symbol.",,,,FALSE,,
39,"LONRF1","91694","Q17RB8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LONRF1","ENSG00000154359","ENST00000398246",FALSE,"pass","none"
40,"LONRF2","164832","Q1L5Z9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LONRF2","ENSG00000170500","ENST00000393437",FALSE,"pass","none"
41,"LONRF3","79836","Q496Y0","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LONRF3","ENSG00000175556","ENST00000371628",FALSE,"pass","none"
42,"LRSAM1","90678","Q6UWE0","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LRSAM1","ENSG00000148356","ENST00000300417",FALSE,"pass","none"
43,"LTN1","26046","O94822","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LTN1","ENSG00000198862","ENST00000361371",FALSE,"pass","none"
44,"MAP3K1","4214","Q13233","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MAP3K1","ENSG00000095015","ENST00000399503",FALSE,"pass","none"
45,"MARCHF1","55016","Q8TCQ1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF1","ENSG00000145416","ENST00000514618",FALSE,"pass","none"
46,"MARCHF10","162333","Q8NA82","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF10","ENSG00000173838","ENST00000311269",FALSE,"pass","none"
47,"MARCHF11","441061","A6NNE9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF11","ENSG00000183654","ENST00000332432",FALSE,"pass","none"
48,"MARCHF2","51257","Q9P0N8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF2","ENSG00000099785","ENST00000215555",FALSE,"pass","none"
49,"MARCHF3","115123","Q86UD3","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF3","ENSG00000173926","ENST00000308660",FALSE,"pass","none"
50,"MARCHF4","57574","Q9P2E8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF4","ENSG00000144583","ENST00000273067",FALSE,"pass","none"
51,"MARCHF5","54708","Q9NX47","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF5","ENSG00000198060","ENST00000358935",FALSE,"pass","none"
52,"MARCHF6","10299","O60337","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF6","ENSG00000145495","ENST00000274140",FALSE,"pass","none"
53,"MARCHF7","64844","Q9H992","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF7","ENSG00000136536","ENST00000409175",FALSE,"pass","none"
54,"MARCHF8","220972","Q5T0T0","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF8","ENSG00000165406","ENST00000453424",FALSE,"pass","none"
55,"MARCHF9","92979","Q86YJ5","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF9","ENSG00000139266","ENST00000266643",FALSE,"pass","none"
56,"MDM2","4193","Q00987","RING, Ubl E3","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MDM2","ENSG00000135679","ENST00000258149",FALSE,"pass","none"
57,"MDM4","4194","O15151","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MDM4","ENSG00000198625","ENST00000367182",FALSE,"pass","none"
58,"MEX3A","92312","A1L020","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MEX3A","ENSG00000254726","ENST00000532414",FALSE,"pass","none"
59,"MEX3B","84206","Q6ZN04","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MEX3B","ENSG00000183496","ENST00000329713",FALSE,"pass","none"
60,"MEX3C","51320","Q5U5Q3","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MEX3C","ENSG00000176624","ENST00000406189",FALSE,"pass","none"
61,"MEX3D","399664","Q86XN8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MEX3D","ENSG00000181588","ENST00000402693",FALSE,"pass","none"
62,"MGRN1","23295","O60291","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MGRN1","ENSG00000102858","ENST00000262370",FALSE,"pass","none"
63,"MIB1","57534","Q86YT6","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MIB1","ENSG00000101752","ENST00000261537",FALSE,"flagged","constraint_flags=[""outlier_lof""]"
64,"MIB2","142678","Q96AX9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MIB2","ENSG00000197530","ENST00000355826",FALSE,"pass","none"
65,"MID1","4281","O15344","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MID1","ENSG00000101871","ENST00000317552",FALSE,"pass","none"
66,"MID2","11043","Q9UJV3","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MID2","ENSG00000080561","ENST00000262843",FALSE,"pass","none"
67,"MKRN1","23608","Q9UHC7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MKRN1","ENSG00000133606","ENST00000255977",FALSE,"pass","none"
68,"MKRN2","23609","Q9H000","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MKRN2","ENSG00000075975","ENST00000170447",FALSE,"pass","none"
69,"MKRN3","7681","Q13064","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MKRN3","ENSG00000179455","ENST00000314520",FALSE,"flagged","constraint_flags=[""no_exp_lof""]"
70,"MNAT1","4331","P51948","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MNAT1","ENSG00000020426","ENST00000261245",FALSE,"pass","none"
71,"MSL2","55167","Q9HCI7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MSL2","ENSG00000174579","ENST00000309993",FALSE,"pass","none"
72,"MUL1","79594","Q969V5","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MUL1","ENSG00000090432","ENST00000264198",FALSE,"pass","none"
73,"MYLIP","29116","Q8WY64","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MYLIP","ENSG00000007944","ENST00000356840",FALSE,"pass","none"
74,"NEURL1","9148","O76050","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEURL1","ENSG00000107954","ENST00000369780",FALSE,"pass","none"
75,"NEURL1B","54492","A8MQ27","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEURL1B","ENSG00000214357","ENST00000369800",FALSE,"pass","none"
76,"NEURL3","93082","Q96EH8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEURL3","ENSG00000163121","ENST00000451794",FALSE,"pass","none"
77,"NFX1","4799","Q12986","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NFX1","ENSG00000086102","ENST00000379540",FALSE,"pass","none"
78,"NFXL1","152518","Q6ZNB6","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NFXL1","ENSG00000170448","ENST00000507489",FALSE,"pass","none"
79,"NHLRC1","378884","Q6VVB1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NHLRC1","ENSG00000187566","ENST00000340650",FALSE,"pass","none"
80,"NSMCE1","197370","Q8WV22","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NSMCE1","ENSG00000169189","ENST00000361439",FALSE,"pass","none"
81,"OBI1","79596","Q5W0B1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","OBI1","ENSG00000152193","ENST00000282003",FALSE,"pass","none"
82,"PCGF1","84759","Q9BSM1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCGF1","ENSG00000115289","ENST00000233630",FALSE,"pass","none"
83,"PCGF2","7703","P35227","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCGF2","ENSG00000277258","ENST00000620225",FALSE,"pass","none"
84,"PCGF3","10336","Q3KNV8","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCGF3","ENSG00000185619","ENST00000362003",FALSE,"pass","none"
85,"PCGF5","84333","Q86SE9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCGF5","ENSG00000180628","ENST00000336126",FALSE,"pass","none"
86,"PCGF6","84108","Q9BYE7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCGF6","ENSG00000156374","ENST00000369847",FALSE,"pass","none"
87,"PDZRN3","23024","Q9UPQ7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PDZRN3","ENSG00000121440","ENST00000263666",FALSE,"pass","none"
88,"PDZRN4","29951","Q6ZMN7","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PDZRN4","ENSG00000165966","ENST00000402685",FALSE,"pass","none"
89,"PEX10","5192","O60683","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PEX10","ENSG00000157911","ENST00000447513",FALSE,"pass","none"
90,"PEX12","5193","O00623","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PEX12","ENSG00000108733","ENST00000225873",FALSE,"pass","none"
91,"PEX2","5828","P28328","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PEX2","ENSG00000164751","ENST00000357039",FALSE,"pass","none"
92,"PHF7","51533","Q9BWX1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PHF7","ENSG00000010318","ENST00000327906",FALSE,"pass","none"
93,"PHRF1","57661","Q9P1Y6","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PHRF1","ENSG00000070047","ENST00000264555",FALSE,"pass","none"
94,"PJA1","64219","Q8NG27","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PJA1","ENSG00000181191","ENST00000374571",FALSE,"pass","none"
95,"PJA2","9867","O43164","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PJA2","ENSG00000198961","ENST00000361189",FALSE,"pass","none"
96,"PML","5371","P29590","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PML","ENSG00000140464","ENST00000268058",FALSE,"pass","none"
97,"RAD18","56852","Q9NS91","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RAD18","ENSG00000070950","ENST00000264926",FALSE,"pass","none"
98,"RAG1","5896","P15918","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RAG1","ENSG00000166349","ENST00000299440",FALSE,"pass","none"
99,"RAPSN","5913","Q13702","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RAPSN","ENSG00000165917","ENST00000298854",FALSE,"pass","none"
100,"RBBP6","5930","Q7Z6E9","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RBBP6","ENSG00000122257","ENST00000319715",FALSE,"pass","none"
101,"RC3H1","149041","Q5TC82","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RC3H1","ENSG00000135870","ENST00000367696",FALSE,"pass","none"
102,"RC3H2","54542","Q9HBD1","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RC3H2","ENSG00000056586","ENST00000357244",FALSE,"pass","none"
103,"RCHY1","25898","Q96PM5","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RCHY1","ENSG00000163743","ENST00000324439",FALSE,"pass","none"
104,"RFFL","117584","Q8WZ73","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RFFL","ENSG00000092871","ENST00000394597",FALSE,"pass","none"
105,"RFPL1","5988","O75677","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RFPL1","ENSG00000128250","ENST00000354373",FALSE,"pass","none"
106,"RFPL2","10739","O75678","RING","RING","matched",1,"gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RFPL2","ENSG00000128253","ENST00000652607",FALSE,"pass","none"
